NHM specimen number,Image filename,View,Species,Subspecies,Sex,Additional taxonomic information (from specimen labels),Type Status,Hybrid status of additional taxonomic information,Included in reduced dataset,Locality,Locality latitude,Locality longitude
10429115,10429115_D_lowres.tif,dorsal,erato,lativitta,male,f._lativitta,,subspecies synonym,1,Yungas de La Paz BOL LP,-16.33333333,-66.75
10428999,10428999_V_lowres.tif,ventral,erato,favorinus,male,favorinus,,valid subspecies,1,Tingo Maria PER HU,-9.3,-76.0
10429127,10429127_D_lowres.tif,dorsal,erato,lativitta,male,f._lativitta,,subspecies synonym,1,San Antonio falls above Rio Madeira BRA RO,-8.866666667,-64.05
10429041,10429041_V_lowres.tif,ventral,erato,notabilis,female,f._rothschildi_hyb.,ST,hybrid,0,Rio Negro,4.25,-73.75
10428716,10428716_D_lowres.tif,dorsal,erato,erato,male,ab._constricta,,hybrid,0,Itaituba - Obidos BRA PA,-4.283333333,-55.98333333
10428066,10428066_D_lowres.tif,dorsal,melpomene,cythera,female,cythera,,valid subspecies,1,Bolivia COUNTRY,,
10428885,10428885_D_lowres.tif,dorsal,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,Santo Domingo de los Colorados ECD PI,-1.5833333330000001,-77.75
10428176,10428176_D_lowres.tif,dorsal,melpomene,plesseni,female,f._corona,,subspecies synonym,1,Zamora ECD ZC,-4.066666667,-78.96666667
10428370,10428370_V_lowres.tif,ventral,melpomene,melpomene,female,f._melpomene,,subspecies synonym,1,St Laurent du Maroni FRG LM,5.5,-54.03333333
10428381,10428381_D_lowres.tif,dorsal,melpomene,melpomene,female,f._luteipicta_hyb.,,hybrid,0,Nouveau Chantier FRG LM,5.55,-53.93333333
10428021,10428021_V_lowres.tif,ventral,melpomene,vulcanus,male,vulcanus,,valid subspecies,1,Juntas Rio Tamana COL CH,4.983333333,-76.4
10428821,10428821_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,San Esteban VEN CA,10.43333333,-68.01666667
10428940,10428940_D_lowres.tif,dorsal,erato,microclea,male,f._microclea,,subspecies synonym,1,Oroya PER PU,-13.88333333,-69.63333333
10429146,10429146_D_lowres.tif,dorsal,erato,dignus,female,f._glaucina,HT,hybrid,0,Mocoa COL PU,1.15,-76.61666667
10428095,10428095_D_lowres.tif,dorsal,melpomene,xenoclea,male,f._xenoclea,,subspecies synonym,1,Utcuyacu PER JU,-11.18333333,-75.46666667
10428141,10428141_D_lowres.tif,dorsal,melpomene,plesseni,male,plesseni,,valid subspecies,1,Machay Hda ECU TU,-1.4,-78.26666667
10428875,10428875_D_lowres.tif,dorsal,erato,cyrbia,male,cyrbia,,valid subspecies,1,Paramba ECD IM,0.816666667,-78.35
10429176,10429176_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Zarayaquilio ECD,-1.5833333330000001,-77.75
10428198,10428198_D_lowres.tif,dorsal,melpomene,malleti,male,malleti,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428543,10428543_D_lowres.tif,dorsal,erato,phyllis,male,anacreon,,hybrid,0,Rio Mamore prov Sara BOL SC,-17.25,-63.75
10428452,10428452_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Tucurinca COL MA,10.65,-74.16666667
10428147,10428147_D_lowres.tif,dorsal,melpomene,plesseni,female,plesseni,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10429080,10429080_D_lowres.tif,dorsal,erato,emma,male,emma,,valid subspecies,1,Coca ECD NA,-1.5833333330000001,-77.75
10428574,10428574_V_lowres.tif,ventral,erato,phyllis,male,f._diffluens,,subspecies synonym,1,Bueyes BOL SC,-17.8,-63.16666667
10428288,10428288_V_lowres.tif,ventral,melpomene,amandus,male,penelope_f._amandoides_hyb.,,hybrid,0,Buenavista BOL SC,-17.45,-64.66666667
10428987,10428987_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Pastaza ECD ,-1.538391667,-78.06732222
10428694,10428694_V_lowres.tif,ventral,erato,hydara,female,coralii_hyb,ST,hybrid,0,Serpa BRA AM,-3.166666667,-58.26666667
10429233,10429233_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Sevilla Isla PAN CQ,8.249916667,-82.37594722
10428641,10428641_D_lowres.tif,dorsal,erato,amalfreda,male,ab._leda_hyb,,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428592,10428592_D_lowres.tif,dorsal,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Encarnacion PAR IT,-27.33333333,-55.9
10428483,10428483_D_lowres.tif,dorsal,melpomene,vulcanus,female,f._fumosa_part.,,hybrid,0,Fusagasuga COL CN,4.35,-74.36666667
10428118,10428118_D_lowres.tif,dorsal,melpomene,amaryllis,male,amaryllis,,valid subspecies,0,Chazuta PER SM,-6.566666667000001,-76.13333333
10428524,10428524_D_lowres.tif,dorsal,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Jejuy Rio PAR SP,-24.21666667,-57.15
10429243,10429243_V_lowres.tif,ventral,erato,colombina,male,var._antigona,,subspecies synonym,1,Bogota  COL CN,4.339611111,-74.36422222
10428045,10428045_V_lowres.tif,ventral,melpomene,cythera,male,cythera,,valid subspecies,1,Cachabe ECD ES,1.05,-78.8
10428059,10428059_V_lowres.tif,ventral,melpomene,cythera,male,cythera,,valid subspecies,1,Bolivia COUNTRY,,
10428619,10428619_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Chapada BRA MO,-15.45,-55.78333333
10429052,10429052_D_lowres.tif,dorsal,erato,notabilis,male,f._ilia_hyb.,HT,hybrid,0,Pastaza Rio Upper ECD,-1.25,-78.25
10428072,10428072_V_lowres.tif,ventral,melpomene,xenoclea,male,var._confluens_hyb.,ST,hybrid,0,Chanchamayo PER JU,-11.06666667,-75.31666667
10428095,10428095_V_lowres.tif,ventral,melpomene,xenoclea,male,f._xenoclea,,subspecies synonym,1,Utcuyacu PER JU,-11.18333333,-75.46666667
10427966,10427966_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Chontales NIC CH,10.75,-84.25
10428486,10428486_D_lowres.tif,dorsal,melpomene,melpomene,female,melpomene,,valid subspecies,1,El Valle PAN CC,8.6,-80.13333333
10428763,10428763_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,Rio Frio COL MA,10.91666667,-74.16666667
10429001,10429001_V_lowres.tif,ventral,erato,favorinus,male,favorinus,,valid subspecies,1,Moyobamba PER SM,-6.033333333,-76.96666667
10428664,10428664_V_lowres.tif,ventral,erato,erato,female,f._erato,,subspecies synonym,1,Nouveau Chantier FRG LM,5.55,-53.93333333
10428626,10428626_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Tombador BRA MO,-14.63333333,-56.25
10428192,10428192_D_lowres.tif,dorsal,melpomene,plesseni,male,unimaculata,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10429082,10429082_D_lowres.tif,dorsal,erato,emma,female,emma,,valid subspecies,1,Aguano ECD NA,-1.066666667,-77.55
10428667,10428667_V_lowres.tif,ventral,erato,erato,male,f._fumata,,hybrid,0,Bas Maroni FRG LM,5.25,-54.25
10428000,10428000_D_lowres.tif,dorsal,melpomene,rosina,female,rosina,,valid subspecies,1,Cebaco Isla PAN VE,7.533333333,-81.15
10429098,10429098_D_lowres.tif,dorsal,erato,luscombei,female,luscombei,,valid subspecies,1,St. Cruz BOL SC,-17.8,-63.16666667
10428969,10428969_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Chilpancingo MEX GU,17.55,-99.51666667
10428778,10428778_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,Madeira Rio BRA AM,-5.75,-61.25
10428009,10428009_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Belize COUNTRY,,
10428003,10428003_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Muzo COL BY,5.533333333,-74.1
10428457,10428457_D_lowres.tif,dorsal,melpomene,vulcanus,female,f._fumosa_hyb.,,hybrid,0,Cuyaba- Coramba River system BRA MG,-17.316667000000002,-56.7
10428587,10428587_D_lowres.tif,dorsal,erato,phyllis,male,f._phyllis,,subspecies synonym,1,San Jose PAR CZ,-25.55,-56.75
