,UnitID,Species,Collection_Locale,DateCollected,AssociatedMedia
1,14N015,Heliconius melpomene ssp. cythera,,,"https://zenodo.org/record/4289223/files/14N015_v.JPG ,
https://zenodo.org/record/4289223/files/14N015_d.JPG"
2,14N501,Heliconius melpomene ssp. cythera,Guayllabamba,201426,"https://zenodo.org/record/4289223/files/14N501_v.JPG ,
https://zenodo.org/record/4289223/files/14N501_d.JPG"
3,14N502,Heliconius melpomene ssp. cythera,Guayllabamba,201496,"https://zenodo.org/record/4289223/files/14N502_d.JPG ,
https://zenodo.org/record/4289223/files/14N502_v.JPG"
4,14N503,Heliconius melpomene ssp. cythera,Guayllabamba,201496,"https://zenodo.org/record/4289223/files/14N503_d.JPG ,
https://zenodo.org/record/4289223/files/14N503_v.JPG"
5,14N512,Heliconius melpomene ssp. cythera,Guayllabamba,,"https://zenodo.org/record/4289223/files/14N512_v.JPG ,
https://zenodo.org/record/4289223/files/14N512_d.JPG"
6,15N004,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N004_v.JPG ,
https://zenodo.org/record/4289223/files/15N004_d.JPG"
7,15N009,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N009_v.JPG ,
https://zenodo.org/record/4289223/files/15N009_d.JPG"
8,15N020,Heliconius melpomene ssp. cythera,Road to Mashpi 2 (116),,"https://zenodo.org/record/4289223/files/15N020_d.JPG ,
https://zenodo.org/record/4289223/files/15N020_v.JPG"
9,15N035,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N035_d.JPG ,
https://zenodo.org/record/4289223/files/15N035_v.JPG"
10,15N036,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N036_d.JPG ,
https://zenodo.org/record/4289223/files/15N036_v.JPG"
11,15N145,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N145_d.JPG ,
https://zenodo.org/record/4289223/files/15N145_v.JPG"
12,15N146,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N146_d.JPG ,
https://zenodo.org/record/4289223/files/15N146_v.JPG"
13,15N149,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N149_d.JPG ,
https://zenodo.org/record/4289223/files/15N149_v.JPG"
14,16N063,Heliconius melpomene ssp. vulcanus,Cocalito,,"https://zenodo.org/record/4289223/files/16N063_v.JPG ,
https://zenodo.org/record/4289223/files/16N063_d.JPG"
15,16N066,Heliconius melpomene ssp. vulcanus,Cocalito 2 ,,"https://zenodo.org/record/4289223/files/16N066_d.JPG ,
https://zenodo.org/record/4289223/files/16N066_v.JPG"
16,16N092,Heliconius melpomene ssp. vulcanus,Potes 2 ,,"https://zenodo.org/record/4289223/files/16N092_d.JPG ,
https://zenodo.org/record/4289223/files/16N092_v.JPG"
17,16N094,Heliconius melpomene ssp. vulcanus,Potes 2 ,,"https://zenodo.org/record/4289223/files/16N094_v.JPG ,
https://zenodo.org/record/4289223/files/16N094_d.JPG"
18,18N0602,Heliconius erato ssp. lativitta,Ikiam Mariposario,20181119,"https://zenodo.org/record/4288311/files/18N0602_v.JPG ,
https://zenodo.org/record/4288311/files/18N0602_d.JPG"
19,18N0614,Heliconius erato ssp. lativitta,Ikiam Mariposario,20181215,"https://zenodo.org/record/4288311/files/18N0614_v.JPG ,
https://zenodo.org/record/4288311/files/18N0614_d.JPG"
20,18N0651,Heliconius erato ssp. lativitta,San Pedro de Arajuno,20181226,"https://zenodo.org/record/4288311/files/18N0651_v.JPG ,
https://zenodo.org/record/4288311/files/18N0651_d.JPG"
21,19N0000,Heliconius melpomene ssp. malleti,Wild sumaco 2,20181113,"https://zenodo.org/record/4288311/files/19N0000_d.JPG ,
https://zenodo.org/record/4288311/files/19N0000_v.JPG"
22,19N0004,Heliconius erato ssp. lativitta,Rio Pusuno 2,2019112,"https://zenodo.org/record/4288311/files/19N0004_v.JPG ,
https://zenodo.org/record/4288311/files/19N0004_d.JPG"
23,19N0005,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0005_d.JPG ,
https://zenodo.org/record/4288311/files/19N0005_v.JPG"
24,19N0006,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0006_d.JPG ,
https://zenodo.org/record/4288311/files/19N0006_v.JPG"
25,19N0007,Heliconius erato ssp. lativitta,Rio Pusuno 2,2019126,"https://zenodo.org/record/4288311/files/19N0007_v.JPG ,
https://zenodo.org/record/4288311/files/19N0007_d.JPG"
26,19N0008,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0008_d.JPG ,
https://zenodo.org/record/4288311/files/19N0008_v.JPG"
27,19N0009,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0009_d.JPG ,
https://zenodo.org/record/4288311/files/19N0009_v.JPG"
28,19N0010,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0010_d.JPG ,
https://zenodo.org/record/4288311/files/19N0010_v.JPG"
29,19N0011,Heliconius erato ssp. lativitta,Venecia,,"https://zenodo.org/record/4288311/files/19N0011_d.JPG ,
https://zenodo.org/record/4288311/files/19N0011_v.JPG"
30,19N0012,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0012_v.JPG ,
https://zenodo.org/record/4288311/files/19N0012_d.JPG"
31,19N0013,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0013_d.JPG ,
https://zenodo.org/record/4288311/files/19N0013_v.JPG"
32,19N0014,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0014_v.JPG ,
https://zenodo.org/record/4288311/files/19N0014_d.JPG"
33,19N0015,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0015_d.JPG ,
https://zenodo.org/record/4288311/files/19N0015_v.JPG"
