,CAMID,X,Image_name,Side,zenodo_link,Taxonomic.Name
0,15N016,15157,15N016_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N016_d.JPG?download=1,Heliconius erato ssp. cyrbia
1,15N017,15159,15N017_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N017_d.JPG?download=1,Heliconius erato ssp. cyrbia
2,15N101,14953,15N101_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N101_d.JPG?download=1,Heliconius erato ssp. venus
3,15N111,15169,15N111_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N111_d.JPG?download=1,Heliconius erato ssp. venus
4,15N112,15171,15N112_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N112_d.JPG?download=1,Heliconius erato ssp. venus
5,15N113,15173,15N113_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N113_d.JPG?download=1,Heliconius erato ssp. venus
6,15N115,14955,15N115_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N115_d.JPG?download=1,Heliconius erato ssp. venus
7,15N120,15174,15N120_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N120_d.JPG?download=1,Heliconius erato ssp. venus
8,15N121,15176,15N121_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N121_d.JPG?download=1,Heliconius erato ssp. venus
9,15N135,15182,15N135_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N135_d.JPG?download=1,Heliconius erato ssp. chestertonii
10,15N136,15184,15N136_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N136_d.JPG?download=1,Heliconius erato ssp. chestertonii
11,15N145,14957,15N145_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N145_d.JPG?download=1,Heliconius erato ssp. venus
12,15N146,14959,15N146_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N146_d.JPG?download=1,Heliconius erato ssp. venus
13,15N149,14961,15N149_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N149_d.JPG?download=1,Heliconius erato ssp. venus
14,15N192,15202,15N192_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N192_d.JPG?download=1,Heliconius erato ssp. venus
15,15N193,15204,15N193_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N193_d.JPG?download=1,Heliconius erato ssp. venus
16,15N194,15206,15N194_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N194_d.JPG?download=1,Heliconius erato ssp. venus
